Date,Open,High,Low,Close,Volume,SMA_14,RSI_14,Close_Lag1,Target,Prediction,Next_Close,Daily_Return,Position_Size,Stop_Loss_Price,Effective_Return,Strategy_Dollar_Return,Cumulative_Strategy_Return,Cumulative_Market_Return
2024-03-07,168.35503848083317,169.92761476617306,167.6981518296525,168.20574951171875,71765100,177.87723868233817,22.223746408065537,168.32518005371094,1,1,169.92762756347656,0.01023673719094751,1.7835299974636079,159.79546203613282,0.01023673719094751,3.071021157284253,0.00030710211572842534,0.010236737190947531
2024-03-08,168.20576217934803,172.8836708711805,168.14604658720506,169.92762756347656,76114600,177.0539834158761,27.979499387195887,168.20574951171875,1,1,171.93812561035156,0.011831496006286425,1.7654574732877668,161.43124618530274,0.011831496006286425,3.549448801885928,0.0006620469959170181,0.022189349112426093
2024-03-11,172.12723509594798,173.56046994775534,171.24141844268888,171.93812561035156,60139500,176.42765481131417,34.11083488141729,169.92762756347656,1,1,172.41587829589844,0.0027786314632134842,1.7448137167661344,163.341219329834,0.0027786314632134842,0.8335894389640452,0.0007454059398134227,0.02502963659923152
2024-03-12,172.33625244410158,173.21212162678884,170.20631026653984,172.41587829589844,59825400,175.7814200265067,35.51570781886359,171.93812561035156,0,1,170.32577514648438,-0.01212245165626247,1.7399789564922956,163.79508438110352,-0.01212245165626247,-3.6367354968787415,0.00038173239012554854,0.012603764383321003
2024-03-13,171.9580673179999,172.37609169504998,169.95750364352023,170.32577514648438,52488700,174.84015110560827,32.273652461802115,172.41587829589844,1,1,172.18695068359375,0.010927151427954565,1.7613306015604073,161.80948638916016,0.010927151427954565,3.27814542838637,0.0007095469329641855,0.023668639053254337
2024-03-14,172.0973773021251,173.49079163745046,171.24141844268888,172.18695068359375,72913500,174.16334424700057,37.725162935469086,170.32577514648438,0,1,171.80873107910156,-0.0021965636942325203,1.742292309660981,163.57760314941405,-0.0021965636942325203,-0.6589691082697561,0.00064365002213721,0.021420085685785573
2024-03-15,170.36554869703198,171.80873107910156,169.4896795825833,171.80873107910156,121664700,173.55621010916573,37.07211074035853,172.18695068359375,1,1,172.90357971191406,0.006372485414076113,1.7461277905712402,163.2182945251465,0.006372485414076113,1.9117456242228337,0.0008348245845594933,0.027929070283462698
2024-03-18,174.7448914522954,176.87483361469177,172.70452267737835,172.90357971191406,75604200,172.92277199881417,40.29413278713605,171.80873107910156,1,1,175.2524871826172,0.01358507137108898,1.7350710754505463,164.25840072631834,0.01358507137108898,4.075521411326694,0.0012423767256921627,0.041893560067680635
2024-03-19,173.52065910891577,175.77999515234478,172.2168180823409,175.2524871826172,55215200,172.5431355067662,46.6101142491751,172.90357971191406,1,1,177.83030700683594,0.014709176832010387,1.7118159338154955,166.48986282348633,0.014709176832010387,4.412753049603116,0.0016836520306524744,0.057218956682849154
2024-03-20,174.89417408943874,177.83030700683594,174.2671300256647,177.83030700683594,53423100,172.39526149204798,52.54335779863551,175.2524871826172,0,1,170.56460571289062,-0.04085749733123957,1.6870015299949281,168.93879165649415,-0.04085749733123957,-12.257249199371872,0.0004579271107152871,0.01402363598164369
