Date,Open,High,Low,Close,Volume
2020-03-09,64.00659319733327,67.48660954634035,63.82458392757783,64.59387969970703,286744800
2020-03-10,67.25608395618609,69.51299644350358,65.37046275999084,69.24604797363281,285290000
2020-03-11,67.31675896743809,68.24621665992385,65.97473643741871,66.84110260009766,255598800
2020-03-12,62.111272274536645,65.52333888472222,60.18440016078189,60.24021530151367,418474000
2020-03-13,64.28325788918951,67.93072375869788,61.38566570157223,67.4574966430664,370732000
2020-03-16,58.71619032815072,62.87327957704444,58.24296696218062,58.77928924560547,322423600
2020-03-17,60.06548484229005,62.5165408014644,57.854678750743666,61.36381912231445,324056000
2020-03-18,58.18714954728448,60.66975488014331,57.54404792376218,59.86163330078125,300233600
2020-03-19,60.03635403076777,61.35895376017689,58.8763487771661,59.40296173095703,271857200
2020-03-20,59.98539913252844,61.11385881136198,55.330817248448476,55.63174057006836,401693200
2020-03-23,55.35024255701241,55.45216732173528,51.59599705960375,54.44990158081055,336752800
2020-03-24,57.359609676283746,60.10916324280381,56.85969151927787,59.912593841552734,287531200
2020-03-25,60.851756305887754,62.67184871782856,59.28647757221615,59.58254623413086,303602000
2020-03-26,59.82523444541299,62.77620858330938,59.78640491258839,62.71796798706055,252087200
2020-03-27,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800
2020-03-30,60.84933827038797,62.0093436795025,60.52414557218957,61.837039947509766,167976400
2020-03-31,62.02876624051435,63.70082103256645,61.15512018524407,61.710853576660156,197002000
2020-04-01,59.82037714150967,60.35912485054445,58.03183398758983,58.463802337646484,176218400
2020-04-02,58.32548464424578,59.49277033542223,57.49066808175266,59.43938064575195,165934000
2020-04-03,58.92247157470053,59.62623930857482,57.99301040837071,58.585147857666016,129880000
2020-04-06,60.88816303362977,63.851271716138356,60.51929359909339,63.695960998535156,201820400
2020-04-07,65.71747694762487,65.93589399470639,62.853867417629125,62.95821762084961,202887200
2020-04-08,63.76150035495677,64.88510570226441,63.39505997306274,64.56962585449219,168895200
2020-04-09,65.20785277807086,65.54032183594127,64.23713674062121,65.0355453491211,161834800
2020-04-13,65.11321477612952,66.42125839971293,64.51136807094039,66.31204986572266,131022800
2020-04-14,67.95011914666873,69.95222087152594,67.47689214022147,69.66100311279297,194994800
2020-04-15,68.53256171861511,69.4862886004415,68.10302246952716,69.02519989013672,131154400
2020-04-16,69.74111859944523,69.94011723219309,68.52044306370273,69.57366943359375,157125200
2020-04-17,69.08829031254295,69.63674726381512,67.1881094519009,68.62962341308594,215250000
