date,sentiment_score,negative,neutral,positive,news_count
2025-05-13,0.16500676,0.35657525,0.121842735,0.521582,34
2025-05-14,0.21110998,0.28506172,0.21876661,0.49617168,36
2025-05-15,0.41034716,0.15990154,0.26984975,0.5702487,52
2025-05-16,0.40684447,0.1953553,0.20244493,0.60219973,48
2025-05-17,0.42650717,0.13249458,0.30850366,0.55900174,16
2025-05-18,0.54800206,0.11856727,0.21486339,0.66656935,15
2025-05-19,0.35006878,0.10757441,0.4347824,0.45764318,24
