Date,Open,High,Low,Close,Volume,SMA_14,RSI_14,Close_Lag1
2020-03-26,59.82523444541299,62.77620858330938,59.78640491258839,62.71796798706055,252087200,61.43437113080706,51.119449137176865,59.58254623413086
2020-03-27,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800,61.11490140642439,46.671672446225635,62.71796798706055
2020-03-30,60.84933827038797,62.0093436795025,60.52414557218957,61.837039947509766,167976400,60.5856865474156,49.78085040661567,60.12130355834961
2020-03-31,62.02876624051435,63.70082103256645,61.15512018524407,61.71085357666016,197002000,60.21924018859863,49.55202953546318,61.837039947509766
2020-04-01,59.82037714150967,60.35912485054445,58.03183398758983,58.46380233764648,176218400,60.09235354832241,43.95333776070071,61.71085357666016
2020-04-02,58.32548464424578,59.49277033542223,57.49066808175266,59.43938064575195,165934000,59.51963097708566,45.930029385967025,58.46380233764648
2020-04-03,58.92247157470053,59.62623930857482,57.99301040837071,58.585147857666016,129880000,59.505763735089985,44.451683138510475,59.43938064575195
2020-04-06,60.88816303362977,63.85127171613836,60.51929359909339,63.69596099853516,201820400,59.672345297677175,53.99288145959923,58.585147857666016
2020-04-07,65.71747694762487,65.93589399470639,62.853867417629125,62.95821762084961,202887200,59.89352989196777,52.588696158103616,63.69596099853516
2020-04-08,63.76150035495677,64.88510570226441,63.39505997306274,64.56962585449219,168895200,60.26257732936314,55.321873506506286,62.95821762084961
2020-04-09,65.20785277807086,65.54032183594127,64.23713674062121,65.0355453491211,161834800,60.93427767072405,56.10972471574798,64.56962585449219
2020-04-13,65.11321477612952,66.42125839971293,64.51136807094039,66.31204986572266,131022800,61.781573976789204,58.280355740440946,65.0355453491211
2020-04-14,67.95011914666873,69.95222087152594,67.47689214022147,69.66100311279297,194994800,62.477888924734934,63.395145617929245,66.31204986572266
2020-04-15,68.53256171861511,69.4862886004415,68.10302246952716,69.02519989013672,131154400,63.152364185878206,61.84493864150574,69.66100311279297
2020-04-16,69.74111859944523,69.94011723219309,68.52044306370273,69.57366943359375,157125200,63.64205714634487,62.692448779306076,69.02519989013672
2020-04-17,69.08829031254295,69.63674726381512,67.1881094519009,68.62962341308594,215250000,64.24979427882603,60.2132565900332,69.57366943359375
2020-04-20,67.45263070247596,68.35781862849281,67.18568232250739,67.20509338378906,130015200,64.6332266671317,56.57744461667573,68.62962341308594
2020-04-21,67.04735361351801,67.28275253901889,64.41428499057956,65.12776184082031,180991600,64.87729154314313,51.677103084269106,67.20509338378906
2020-04-22,66.39940158614417,67.4404966317663,66.05723069304202,67.00367736816406,116862400,65.48728261675153,55.431205007329396,65.12776184082031
2020-04-23,66.94786806714389,68.37482206031547,66.70518901812768,66.7440185546875,124814400,66.00904246738979,54.7966322278938,67.00367736816406
2020-04-24,67.27064283501898,68.68060767421453,67.22210405742399,68.6708984375,126161200,66.72945322309222,58.585550756339295,66.7440185546875
2020-04-27,68.38694490813113,69.05189045933044,67.93799464568525,68.71942138671875,117087600,67.08827182224819,58.67947712095881,68.6708984375
